Name,Description,Canonical Units,is alias,target,Physical parameters,Edited by author teams,Last Modified By,UID
longwave_radiance,,,checked,isotropic_longwave_radiance_in_air,,,Data Request co-leads,3ba9a9e4-8ca2-11ef-944e-41a8eb05f654
low_type_cloud_area_fraction,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. Low type clouds are: Stratus, Stratocumulus, Cumulus, Cumulonimbus. X_type_cloud_area_fraction is generally determined on the basis of cloud type, though Numerical Weather Prediction (NWP) models often calculate them based on the vertical location of the cloud. For the cloud area fraction between specified levels in the atmosphere, standard names including ""cloud_area_fraction_in_atmosphere_layer"" are used. Standard names referring only to ""cloud_area_fraction"" should be used for quantities for the whole atmosphere column. Cloud area fraction is also called ""cloud amount"" and ""cloud cover"".",1,,,,,Data Request co-leads,3ba74c53-8ca2-11ef-944e-41a8eb05f654
lwe_convective_precipitation_rate,"Convective precipitation is that produced by the convection schemes in an atmosphere model. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",m s-1,,,,,Data Request co-leads,3ba74c54-8ca2-11ef-944e-41a8eb05f654
lwe_convective_snowfall_rate,"""lwe"" means liquid water equivalent.",m s-1,,,,,Data Request co-leads,3ba74c55-8ca2-11ef-944e-41a8eb05f654
lwe_large_scale_precipitation_rate,,,checked,lwe_stratiform_precipitation_rate,,,Data Request co-leads,3baa6d1e-8ca2-11ef-944e-41a8eb05f654
lwe_large_scale_snowfall_rate,,,checked,lwe_stratiform_snowfall_rate,,,Data Request co-leads,3ba9aa18-8ca2-11ef-944e-41a8eb05f654
lwe_precipitation_rate,"""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",m s-1,,,,,Data Request co-leads,3ba74c56-8ca2-11ef-944e-41a8eb05f654
lwe_snowfall_rate,"""lwe"" means liquid water equivalent.",m s-1,,,,,Data Request co-leads,3ba74c57-8ca2-11ef-944e-41a8eb05f654
lwe_stratiform_precipitation_rate,"Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",m s-1,,,,,Data Request co-leads,3ba74c58-8ca2-11ef-944e-41a8eb05f654
lwe_stratiform_snowfall_rate,"Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.  ""lwe"" means liquid water equivalent.",m s-1,,,,,Data Request co-leads,3ba74c59-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_atmosphere_mass_content_of_water_vapor,"""lwe"" means liquid water equivalent. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. Atmosphere water vapor content is sometimes referred to as ""precipitable water"", although this term does not imply the water could all be precipitated.",m,,,,,Data Request co-leads,3ba74c5a-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_atmosphere_water_vapor_content,,,checked,lwe_thickness_of_atmosphere_mass_content_of_water_vapor,,,Data Request co-leads,3ba9aa2b-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_canopy_water_amount,"The abbreviation ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases, including frozen i.e. ice and snow. The canopy water is the water on the canopy. ""Canopy"" means the vegetative covering over a surface. The canopy is often considered to be the outer surfaces of the vegetation. Plant height and the distribution, orientation and shape of plant leaves within a canopy influence the atmospheric environment and many plant processes within the canopy. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Canopy.",m,,,,,Data Request co-leads,3ba74c5b-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_convective_precipitation_amount,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Convective precipitation is that produced by the convection schemes in an atmosphere model. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",m,,,,,Data Request co-leads,3ba74c5c-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_convective_snowfall_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",m,,,,,Data Request co-leads,3ba74c5d-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_frozen_water_content_of_soil_layer,"""frozen_water"" means ice. ""lwe"" means liquid water equivalent. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Quantities defined for a soil layer must have a vertical coordinate variable with boundaries indicating the extent of the layer(s).",m,,,,,Data Request co-leads,3ba74c5e-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_large_scale_precipitation_amount,,,checked,lwe_thickness_of_stratiform_precipitation_amount,,,Data Request co-leads,3baa6d1f-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_large_scale_snowfall_amount,,,checked,lwe_thickness_of_stratiform_snowfall_amount,,,Data Request co-leads,3ba9aa19-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_moisture_content_of_soil_layer,"""lwe"" means liquid water equivalent. ""moisture"" means water in all phases contained in soil. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Quantities defined for a soil layer must have a vertical coordinate variable with boundaries indicating the extent of the layer(s).",m,,,,,Data Request co-leads,3ba74c5f-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_precipitation_amount,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",m,,,,,Data Request co-leads,3ba74c60-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_snowfall_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",m,,,,,Data Request co-leads,3ba74c61-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_soil_moisture_content,"""lwe"" means liquid water equivalent. ""moisture"" means water in all phases contained in soil. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including content_of_soil_layer are used.",m,,,,,Data Request co-leads,3ba74c62-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_stratiform_precipitation_amount,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",m,,,,,Data Request co-leads,3ba74c63-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_stratiform_snowfall_amount,"""Amount"" means mass per unit area.  ""lwe"" means liquid water equivalent.  The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.  Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.",m,,,,,Data Request co-leads,3ba74c64-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_surface_snow_amount,"The abbreviation ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Surface snow amount refers to the amount on the solid ground or on surface ice cover, but excludes, for example, falling snowflakes and snow on plants.",m,,,sweLut,,Data Request co-leads,3ba74c65-8ca2-11ef-944e-41a8eb05f654
lwe_thickness_of_water_evaporation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. (The conversion of solid alone into vapor is called ""sublimation"".)",m,,,,,Data Request co-leads,3ba74c66-8ca2-11ef-944e-41a8eb05f654
lwe_water_evaporation_rate,"""lwe"" means liquid water equivalent. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. (The conversion of solid alone into vapor is called ""sublimation"".)",m s-1,,,,,Data Request co-leads,3ba74c67-8ca2-11ef-944e-41a8eb05f654
magnitude_of_air_velocity_relative_to_sea_water,"The quantity with standard name magnitude_of_air_velocity_relative_to_sea_water is the speed of the motion of the air relative to the near-surface current, usually derived from vectors. The components of the relative velocity vector have standard names eastward_air_velocity_relative_to_sea_water and northward_air_velocity_relative_to_sea_water. A vertical coordinate variable or scalar coordinate variable with standard name ""depth"" should be used to indicate the depth of sea water velocity used in the calculation. Similarly, a vertical coordinate variable or scalar coordinate with standard name ""height"" should be used to indicate the height of the the wind component.",m s-1,,,,,Data Request co-leads,3ba74c68-8ca2-11ef-944e-41a8eb05f654
magnitude_of_derivative_of_position_wrt_model_level_number,"The quantity with standard name magnitude_of_derivative_of_position_wrt_model_level_number (known in differential geometry as a ""scale factor"") is | (dr/dk)ij|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the z-direction.",m,,,,,Data Request co-leads,3ba74c69-8ca2-11ef-944e-41a8eb05f654
magnitude_of_derivative_of_position_wrt_x_coordinate_index,"The quantity with standard name magnitude_of_derivative_of_position_wrt_x_coordinate_index (known in differential geometry as a ""scale factor"") is | (dr/di)jk|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the x-direction.",m,,,,,Data Request co-leads,3ba74c6a-8ca2-11ef-944e-41a8eb05f654
magnitude_of_derivative_of_position_wrt_y_coordinate_index,"The quantity with standard name magnitude_of_derivative_of_position_wrt_y_coordinate_index (known in differential geometry as a ""scale factor"") is | (dr/dj)ik|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the y-direction.",m,,,,,Data Request co-leads,3ba74c6b-8ca2-11ef-944e-41a8eb05f654
magnitude_of_heat_flux_in_sea_water_due_to_advection,"""magnitude_of_X"" means magnitude of a vector X. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",W m-2,,,,,Data Request co-leads,3ba74c6c-8ca2-11ef-944e-41a8eb05f654
magnitude_of_sea_ice_displacement,"The phrase ""magnitude_of_X"" means magnitude of a vector X. ""Displacement"" means the change in geospatial position of an object that has moved over time. If possible, the time interval over which the motion took place should be specified using a bounds variable for the time coordinate variable. A displacement can be represented as a vector. Such a vector should however not be interpreted as describing a rectilinear, constant speed motion but merely as an indication that the start point of the vector is found at the tip of the vector after the time interval associated with the displacement variable. A displacement does not prescribe a trajectory. Sea ice displacement can be defined as a two-dimensional vector, with no vertical component. ""Sea ice"" means all ice floating in the sea which has formed from freezing sea water, rather than by other processes such as calving of land ice to form icebergs.",m,,,,,Data Request co-leads,3ba74c6d-8ca2-11ef-944e-41a8eb05f654
magnitude_of_surface_downward_stress,"The phrase ""magnitude_of_X"" means magnitude of a vector X. The surface called ""surface"" means the lower boundary of the atmosphere. ""Surface stress"" means the shear stress (force per unit area) exerted by the wind at the surface. A downward stress is a downward flux of momentum. Over large bodies of water, wind stress can drive near-surface currents. ""Downward"" indicates a vector component which is positive when directed downward (negative upward).",Pa,,,tau,,Data Request co-leads,3ba74c6e-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_19_butanoyloxyfucoxanthin_in_sea_water,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of 19’-butanoyloxyfucoxanthin is C46H64O8. The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/BUTAXXXX/1/.",kg m-3,,,,,Data Request co-leads,3ba74c6f-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_19_hexanoyloxyfucoxanthin_in_sea_water,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of 19'-hexanoyloxyfucoxanthin is C48H68O8. The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/HEXAXXXX/2/.",kg m-3,,,,,Data Request co-leads,3ba74c70-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_absorption_equivalent_black_carbon_of_dry_aerosol_particles_in_air,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. The absorption equivalent black carbon mass concentration is obtained by conversion from the particle light absorption coefficient with a suitable mass absorption cross-section. Reference: Petzold, A., Ogren, J. A., Fiebig, M., Laj, P., Li, S.-M., Baltensperger, U., Holzer-Popp, T., Kinne, S., Pappalardo, G., Sugimoto, N., Wehrli, C., Wiedensohler, A., and Zhang, X.-Y.: Recommendations for reporting ""black carbon"" measurements, Atmos. Chem. Phys., 13, 8365–8379, https://doi.org/10.5194/acp-13-8365-2013, 2013.",kg m-3,,,,,Data Request co-leads,3ba74c71-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_absorption_equivalent_black_carbon_of_pm1_dry_aerosol_particles_in_air,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. ""Pm1 aerosol"" means atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 1 micrometer. The absorption equivalent black carbon mass concentration is obtained by conversion from the particle light absorption coefficient with a suitable mass absorption cross-section. Reference: Petzold, A., Ogren, J. A., Fiebig, M., Laj, P., Li, S.-M., Baltensperger, U., Holzer-Popp, T., Kinne, S., Pappalardo, G., Sugimoto, N., Wehrli, C., Wiedensohler, A., and Zhang, X.-Y.: Recommendations for reporting ""black carbon"" measurements, Atmos. Chem. Phys., 13, 8365–8379, https://doi.org/10.5194/acp-13-8365-2013, 2013.",kg m-3,,,,,Data Request co-leads,3ba74c73-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_absorption_equivalent_black_carbon_of_pm2p5_dry_aerosol_particles_in_air,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. ""Pm2p5 aerosol"" means atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 2.5 micrometers. The absorption equivalent black carbon mass concentration is obtained by conversion from the particle light absorption coefficient with a suitable mass absorption cross-section. Reference: Petzold, A., Ogren, J. A., Fiebig, M., Laj, P., Li, S.-M., Baltensperger, U., Holzer-Popp, T., Kinne, S., Pappalardo, G., Sugimoto, N., Wehrli, C., Wiedensohler, A., and Zhang, X.-Y.: Recommendations for reporting ""black carbon"" measurements, Atmos. Chem. Phys., 13, 8365–8379, https://doi.org/10.5194/acp-13-8365-2013, 2013.",kg m-3,,,,,Data Request co-leads,3ba74c74-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_absorption_equivalent_black_carbon_of_pm10_dry_aerosol_particles_in_air,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. ""Pm10 aerosol"" means atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 10 micrometers. The absorption equivalent black carbon mass concentration is obtained by conversion from the particle light absorption coefficient with a suitable mass absorption cross-section. Reference: Petzold, A., Ogren, J. A., Fiebig, M., Laj, P., Li, S.-M., Baltensperger, U., Holzer-Popp, T., Kinne, S., Pappalardo, G., Sugimoto, N., Wehrli, C., Wiedensohler, A., and Zhang, X.-Y.: Recommendations for reporting ""black carbon"" measurements, Atmos. Chem. Phys., 13, 8365–8379, https://doi.org/10.5194/acp-13-8365-2013, 2013.",kg m-3,,,,,Data Request co-leads,3ba74c72-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_acetic_acid_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid.",kg m-3,,,,,Data Request co-leads,3ba74c75-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_aceto_nitrile_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile.",kg m-3,,,,,Data Request co-leads,3ba74c76-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_adenosine_triphosphate_in_sea_water,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/ATPXZZDZ/2/.",kg m-3,,,,,Data Request co-leads,3ba74c77-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_alkanes_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkanes are saturated hydrocarbons, i.e. they do not contain any chemical double bonds.  Alkanes contain only hydrogen and carbon combined in the general proportions C(n)H(2n+2); ""alkanes"" is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkane species, e.g., methane and ethane.",kg m-3,,,,,Data Request co-leads,3ba74c78-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_alkenes_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkenes are unsaturated hydrocarbons as they contain chemical double bonds between adjacent carbon atoms.  Alkenes contain only hydrogen and carbon combined in the general proportions C(n)H(2n); ""alkenes"" is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkene species, e.g., ethene and propene.",kg m-3,,,,,Data Request co-leads,3ba74c79-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_alpha_carotene_in_sea_water,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of alpha-carotene is C40H56. The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/BECAXXP1/2/.",kg m-3,,,,,Data Request co-leads,3ba74c7a-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_alpha_hexachlorocyclohexane_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_hexachlorocyclohexane is C6H6Cl6.",kg m-3,,,,,Data Request co-leads,3ba74c7b-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_alpha_pinene_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene.",kg m-3,,,,,Data Request co-leads,3ba74c7c-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_aluminium_in_sea_floor_sediment,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". Aluminium means aluminium in all chemical forms, commonly referred to as ""total aluminium"". ""Sea floor sediment"" is sediment deposited at the sea bed.",kg m-3,,,,,Data Request co-leads,3ba74c7d-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_ammonia_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ammonia is NH3.",kg m-3,,,,,Data Request co-leads,3ba74c7e-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_ammonium_dry_aerosol_in_air,,,checked,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,,,Data Request co-leads,3ba9aa70-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_ammonium_dry_aerosol_particles_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. The chemical formula for ammonium is NH4.",kg m-3,,,,,Data Request co-leads,3ba74c7f-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_anthropogenic_nmvoc_expressed_as_carbon_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y. A chemical species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. ""nmvoc"" means non methane volatile organic compounds; ""nmvoc"" is the term used in standard names to describe the group of chemical species having this classification that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. ""Anthropogenic"" means influenced, caused, or created by human activity.",kg m-3,,,,,Data Request co-leads,3ba74c80-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_aromatic_compounds_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aromatic compounds in organic chemistry are compounds that contain at least one benzene ring of six carbon atoms joined by alternating single and double covalent bonds.  The simplest aromatic compound is benzene itself.  In standard names ""aromatic_compounds"" is the term used to describe the group of aromatic chemical species that  are represented within a given model.  The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual aromatic species, e.g. benzene and xylene.",kg m-3,,,,,Data Request co-leads,3ba74c81-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_arsenic_in_sea_floor_sediment,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". Arsenic means arsenic in all chemical forms, commonly referred to as ""total arsenic"". ""Sea floor sediment"" is sediment deposited at the sea bed.",kg m-3,,,,,Data Request co-leads,3ba74c82-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_atomic_bromine_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic bromine is Br.",kg m-3,,,,,Data Request co-leads,3ba74c83-8ca2-11ef-944e-41a8eb05f654
mass_concentration_of_atomic_chlorine_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic chlorine is Cl.",kg m-3,,,,,Data Request co-leads,3ba74c84-8ca2-11ef-944e-41a8eb05f654
